"Design value to translate",翻訳する設計値
"Are you sure you want to invalidate the selected index(es)?",選択したインデックスを無効にしてもよろしいですか？
"Integration not secure",統合は安全ではありません
OAuth,OAuth
"Source with code ""%value"" does not exist.","コード ""%value"" を持つソースは存在しません。"
"Could not load Sources for Stock",ストックのソースをロードできませんでした
"Validation Failed",バリデーション失敗
"Validation Error: Select different sources for origin and destination.",検証エラー。送信元と送信先で異なるソースを選択してください。
"Could not save Source",ソースを保存できませんでした
"""%field"" can not be empty.","""%field"" は空にできません。"
"""%field"" can not contain whitespaces.","""%field"" は空白を含むことはできません。"
"Input data is empty",入力データは空です
"Could not save Source Item",ソースアイテムを保存できませんでした
"Could not delete Source Items",ソースアイテムを削除できませんでした
"""%field"" should be numeric.","""%field""は数値でなければなりません。"
"""%field"" should a known status.","""%field""は既知の状態でなければなりません。"
"There is no stock with ""%fieldValue"" for ""%fieldName"". Verify and try again.","""%fieldName""の""%fieldValue""を持つ在庫はありません。確認して再試行してください。"
"Could not delete Stock",在庫を削除できませんでした。
"Stock with id ""%value"" does not exist.","ID ""%value""を持つストックが存在しません。"
"Could not save Stock",ストックを保存できませんでした
"Could not delete StockSourceLinks",ストックソースリンクを削除できませんでした
"Could not save StockSourceLinks",ストックソースリンクを保存できませんでした
"""%field"" should be greater then 0.","""%field"" は 0 より大きい値でなければなりません。"
"Edit Source",ソースの編集
"Edit Source: %name","ソースの編集: %name"
"Source with source code ""%value"" does not exist.","ソース・コード ""%value"" を持つソースは存在しません。"
Sources,Sources
"Manage Sources",ソースの管理
"[ID: %value] The Source does not exist.","[ID: %value] ソースは存在しません。"
"[ID: %value] %message","[ID: %value] %message"
"Please correct the sent data.",送信データを修正してください
"New Source",新しいソース
"The Source has been saved.",源は救われた
"The Source does not exist.",ソースは存在しない
"Could not save Source.",ソースを保存できませんでした
"The Stock has been deleted.",ストックは削除されました
"Edit Stock",ストックの編集
"Edit Stock: %name","ストックを編集: %name"
"[ID: %value] The Stock does not exist.","[ID: %value] 株式は存在しません。"
"[ID: %1] ","[ID: %1] "
"You deleted %1 Stock(s).","%1 在庫を削除しました"
"New Stock",新規在庫
"The Stock has been saved.",ストックは保存されました
"The Stock does not exist.",ストックは存在しません
"Could not save Stock.",ストックを保存できませんでした
"Assigned Sources:",割り当てられたソース：
"Are you sure you want to delete this stock?",このストックを削除してもよろしいですか？
Stocks,ストック
"Source Information",ソース情報
"Is Enabled",有効化されている
Latitude,緯度
Longitude,経度
"Contact Info",連絡先
"Address Data",アドレスデータ
Postcode,郵便番号
"Add New Source",新しいソースの追加
"Stock Information",株式情報
"Assign Sources",ソースの割り当て
"Assigned Sources",割り当てられたソース
"Add New Stock",新品追加
"Source item Validator must implement SourceItemValidatorInterface.",ソースアイテムバリデータは、SourceItemValidatorInterfaceを実装しなければなりません。
"Source Validator must implement SourceValidatorInterface.",ソースバリデータはソースValidatorInterfaceを実装する必要があります。
"Validator must implement StockSourceLinkValidatorInterface.","バリデータは StockSourceLinkValidatorInterface を実装する必要があります。"
"Stock Validator must implement StockValidatorInterface.",ストックバリデータはストックValidatorInterfaceを実装する必要があります。
"Edit Sources",ソースの編集
"Edit Stocks",株の編集
"Delete Stocks",株の削除
"Source to Stock Assigning",ソースからストックへの割り当て
"Following products with requested skus were not found: %1","要求されたスカートを持つ以下の製品が見つかりませんでした: %1"
"Following products with requested ids were not found: %1","要求された ID を持つ以下の製品が見つかりませんでした: %1"
"Source %sourceCode does not exist","ソース %sourceCode が存在しません。"
"Origin source %sourceCode does not exist","Origin source %sourceCodeが存在しません"
"Destination source %sourceCode does not exist","宛先ソース %sourceCode が存在しません"
"Cannot transfer a source on itself",自分自身でソースを転送できない
"Default source can not be disabled.",デフォルトソースを無効にできない
